branch_size	number_of_branches
4	289
5	109
6	298
7	562
8	1019
9	1345
10	1679
11	2308
12	2611
13	2992
14	3267
15	3619
16	4268
17	4597
18	4865
19	4812
20	4924
21	5233
22	5090
23	5042
24	4975
25	4946
26	4910
27	4733
28	4409
29	4186
30	4083
31	3829
32	3767
33	3482
34	3187
35	3002
36	2855
37	2548
38	2407
39	2234
40	2072
41	1834
42	1712
43	1628
44	1396
45	1335
46	1225
47	1129
48	974
49	941
50	811
51	732
52	708
53	629
54	558
55	482
56	457
57	384
58	355
59	323
60	335
61	301
62	250
63	228
64	192
65	223
66	189
67	150
68	152
69	129
70	120
71	107
72	110
73	106
74	100
75	95
76	78
77	82
78	83
79	72
80	57
81	62
82	60
83	63
84	59
85	46
86	43
87	40
88	41
89	49
90	36
91	29
92	19
93	33
94	25
95	30
96	28
97	21
98	29
99	20
100	19
101	20
102	27
103	23
104	22
105	36
106	13
107	16
108	15
109	14
110	9
111	14
112	7
113	13
114	11
115	12
116	13
117	8
118	11
119	10
120	13
121	7
122	13
123	11
124	8
125	11
126	8
127	10
128	12
129	11
130	11
131	7
132	10
133	12
134	13
135	89
136	3
137	8
138	18
139	4
140	3
141	30
142	12
143	5
144	2
145	4
146	6
147	12
148	3
149	3
150	5
151	28
152	7
153	8
154	4
155	3
156	5
157	4
158	6
159	4
160	4
161	3
162	6
163	10
164	2
165	3
166	7
167	4
168	56
169	40
170	3
171	6
172	4
173	1
174	11
175	6
176	2
178	1
179	3
180	3
181	6
182	5
183	7
184	15
185	2
186	2
187	2
188	3
189	5
190	2
191	1
192	2
193	4
194	5
195	3
197	6
198	1
199	5
200	2
201	2
202	15
203	2
204	1
205	1
206	2
207	5
209	2
210	4
211	1
212	1
213	3
214	1
217	1
218	2
219	2
220	3
221	2
222	1
223	2
224	1
225	2
226	3
227	2
228	4
229	2
230	2
231	6
232	3
233	1
234	11
235	7
236	3
237	6
238	8
239	7
240	2
241	7
242	5
243	9
244	10
245	7
246	12
247	8
248	15
249	7
250	18
251	8
252	18
253	12
254	11
255	8
256	2
257	1
262	2
263	1
267	1
268	1
270	1
271	1
277	1
279	1
287	1
290	1
292	1
294	1
296	1
300	1
306	1
312	1
317	1
318	1
320	3
321	1
323	2
330	1
333	2
338	1
342	1
343	1
348	1
351	2
356	1
358	2
359	1
360	1
362	3
364	1
365	1
371	10
372	2
373	2
374	2
378	1
379	1
391	1
392	3
393	1
399	1
403	7
410	4
417	2
420	1
421	1
422	1
423	3
424	1
425	1
432	2
433	3
435	1
436	1
437	1
438	2
441	3
444	1
445	1
449	2
451	1
453	2
456	1
457	1
458	1
459	1
460	1
464	1
467	3
468	1
471	1
472	1
473	4
474	3
475	6
476	1
478	3
480	1
482	3
484	1
485	1
487	2
488	3
490	1
491	1
494	1
496	1
498	1
499	1
500	96
525	1
