999
query_size	query_processing_time	accumulated_query_processing_time	fetching_time	results_size	active_nodes_size
1	995	995	0	0.0	1.0
2	217	1212	0	0.0	1.0
3	131	1343	0	0.0	1.0
4	3363875	3365218	0	0.0	7559.1
5	3933894	7299112	7114632	1032007.4	7762.7
6	2464558	9763670	0	0.0	4574.8
7	978250	10741920	0	0.0	1869.7
8	369239	11111159	0	0.0	672.4
9	136089	11247248	81843	7385.8	304.4
10	69980	11317228	0	0.0	158.2
11	37443	11354671	0	0.0	102.2
12	24361	11379032	0	0.0	65.4
13	16111	11395143	16297	565.9	48.3
14	11937	11407080	0	0.0	33.9
15	8278	11415358	0	0.0	26.0
16	6348	11421706	0	0.0	21.7
17	5566	11427272	9120	146.1	17.1
